Subtopic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Classification of Numbers,3,Which of the following numbers is irrational?,√4/2,0.\overline{2},√10,√16/4,c) √10,"Irrational numbers cannot be expressed as a fraction p over q where p and q are integers and q is not zero. √10 is irrational because 10 is not a perfect square. √4/2 equals 2/2 equals 1, 0.\overline{2} (repeating 2) equals 2/9, and √16/4 equals 4/4 equals 1—all rational."
Classification of Numbers,2,Which set represents all real numbers?,"{1, 2, 3, ...}","{..., -2, 0, 2, ...}","{..., -1, 0, 1, ...}",All numbers,d) All numbers,"Real numbers include all rational and irrational numbers. Option d is correct. Option a includes only natural numbers, option b includes only even integers, and option c includes only integers."
Classification of Numbers,4,Which number is a rational number?,√5/5,√2/2,0.\overline{15},√17/17,c) 0.\overline{15},"Rational numbers can be expressed as a fraction p over q where p and q are integers and q is not zero. 0.\overline{15} (repeating 15) equals 5/33, which is rational. √5/5, √2/2, and √17/17 are irrational because √5, √2, and √17 are irrational."
Classification of Numbers,5,How many natural numbers are there between 20 and 30 (inclusive)?,11,10,12,9,a) 11,"Natural numbers between 20 and 30 inclusive are 20, 21, ..., 30—11 numbers. Option b (10) excludes 30, option c (12) overcounts, and option d (9) undercounts."
Classification of Numbers,2,Which of the following is a natural number?,-2,√3,0,8,d) 8,"Natural numbers are positive whole numbers starting from 1. 8 is a natural number. -2 is negative, √3 is irrational, and 0 is not a natural number."
Classification of Numbers,3,Which number is an integer?,√6,5/2,0.\overline{4},-9,d) -9,"Integers are whole numbers, including negatives and zero. -9 is an integer. √6 is irrational, 5/2 is a fraction, and 0.\overline{4} (repeating 4) equals 4/9, a fraction."
Classification of Numbers,3,Which of the following is not a real number?,√19,0.\overline{8},-4,None of these,d) None of these,"All given numbers are real numbers. √19 is irrational, 0.\overline{8} (repeating 8) equals 8/9, and -4 is an integer—all are real numbers."
Classification of Numbers,5,Which number is not a rational number?,3/5,0.\overline{7},√9,√19,d) √19,"Rational numbers can be expressed as a fraction p over q. 3/5 is a fraction, 0.\overline{7} (repeating 7) equals 7/9, √9 equals 3—all rational. √19 is irrational."
Classification of Numbers,3,Which set represents all integers?,"{0, 1, 2, ...}","{..., -4, -2, 0, ...}","{..., -2, -1, 0, 1, 2, ...}","{1, 3, 5, ...}","c) {..., -2, -1, 0, 1, 2, ...}","Integers include all positive and negative whole numbers and zero. Option c is correct. Option a includes only non-negative integers, option b includes only even integers, and option d includes only odd natural numbers."
Classification of Numbers,4,Which number is a rational number?,√3,π,√25/25,√11/11,c) √25/25,"√25/25 equals 5/5 equals 1, a rational number. √3, π, and √11/11 are irrational."
Classification of Numbers,2,Which number is not an integer?,1,-6,√16,√10,d) √10,"Integers are whole numbers. 1, -6, and √16 (equals 4) are integers. √10 is irrational and not an integer."
