"Subtopic","Question Number","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Difficulty"
"Kinds of Nouns","1","Which of the following is a proper noun?","city","Dhaka","street","park","B) Dhaka","A proper noun names a specific place. Dhaka is a specific city.","1"
"Kinds of Nouns","2","Identify the common noun in the sentence: Salma reads a book.","Salma","book","reads","a","B) book","A common noun refers to a general class. Book is a general term.","2"
"Kinds of Nouns","3","What type of noun is 'team' in the sentence: The team won the match?","Proper","Common","Collective","Abstract","C) Collective","A collective noun names a group. Team refers to a group of players.","3"
"Kinds of Nouns","4","Fill in the blank: The ___ of the river is breathtaking.","beauty (abstract)","water (material)","Ganges (proper)","fish (common)","A) beauty (abstract)","An abstract noun names a quality. Beauty is a quality of the river.","4"
"Kinds of Nouns","5","Which noun is a material noun?","happiness","silver","family","London","B) silver","A material noun names a substance. Silver is a material.","5"
"Kinds of Nouns","6","In the sentence: Shakespeare wrote many plays, what type of noun is 'Shakespeare'?","Common","Proper","Collective","Material","B) Proper","A proper noun names a specific person. Shakespeare is a specific individual.","6"
"Kinds of Nouns","7","Which noun in the sentence Honesty is the best policy is an abstract noun?","policy","best","honesty","is","C) honesty","An abstract noun names a quality. Honesty is a quality.","7"
"Kinds of Nouns","8","Choose the collective noun: A ___ of wolves howled at night.","pack","courage","gold","Paris","A) pack","A collective noun names a group. Pack refers to a group of wolves.","8"
"Kinds of Nouns","9","Which sentence contains a material noun?","The crowd cheered loudly.","The jeweller used copper.","The city is bustling.","The idea was brilliant.","B) copper","A material noun names a substance. Copper is a material used by the jeweller.","9"
"Kinds of Nouns","10","In the sentence: The Maldives is beautiful, what type of noun is 'Maldives'?","Common","Proper","Abstract","Material","B) Proper","A proper noun names a specific place. Maldives is a specific country.","10"
"Kinds of Nouns","11","Identify the common noun: The teacher gave homework.","teacher","homework","gave","the","B) homework","A common noun refers to a general class. Homework is a general term.","2"
"Kinds of Nouns","12","Which is a collective noun?","river","army","stone","bravery","B) army","A collective noun names a group. Army refers to a group of soldiers.","3"
"Kinds of Nouns","13","Fill in the blank: The ___ of the storm caused damage.","force (abstract)","rain (material)","Atlantic (proper)","ship (common)","A) force (abstract)","An abstract noun names a concept. Force is a concept of the storm.","4"
"Kinds of Nouns","14","Which noun is a material noun in: She bought oil for cooking?","she","oil","cooking","for","B) oil","A material noun names a substance. Oil is a material.","5"
"Kinds of Nouns","15","What type of noun is 'committee' in: The committee met today?","Proper","Common","Collective","Abstract","C) Collective","A collective noun names a group. Committee refers to a group of people.","6"
"Kinds of Nouns","16","Which sentence uses a proper noun?","The dog barked.","The Nile flows north.","The tree grew tall.","The book was heavy.","B) Nile","A proper noun names a specific place. Nile is a specific river.","7"
"Kinds of Nouns","17","Choose the abstract noun: His ___ inspired everyone.","strength","table","city","team","A) strength","An abstract noun names a quality. Strength is a quality.","8"
