Subtopic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Classification of Numbers,3,Which of the following numbers is irrational?,0.\overline{7},√25/5,√7,√9/3,c) √7,"Irrational numbers cannot be expressed as a fraction p over q where p and q are integers and q is not zero. √7 is irrational because 7 is not a perfect square. 0.\overline{7} (repeating 7) equals 7/9, √25/5 equals 5/5 equals 1, and √9/3 equals 3/3 equals 1—all rational."
Classification of Numbers,2,Which set represents all integers?,"{..., -3, -1, 0, 1, 3, ...}","{..., -2, 0, 2, 4, ...}","{..., -1, 1, 3, 5, ...}","{..., 0, 2, 4, 6, ...}","a) {..., -3, -1, 0, 1, 3, ...}","Integers include all positive and negative whole numbers and zero. Option a is the complete set of integers. Option b includes only even integers, option c includes only odd integers, and option d includes only non-negative even integers."
Classification of Numbers,4,Which number is a rational number?,√3/3,0.\overline{12},√8/2,√13/13,b) 0.\overline{12},"Rational numbers can be expressed as a fraction p over q where p and q are integers and q is not zero. 0.\overline{12} (repeating 12) equals 4/33, which is rational. √3/3, √8/2, and √13/13 are irrational because √3, √8, and √13 are irrational."
Classification of Numbers,5,How many natural numbers are there between 10 and 20 (inclusive)?,11,10,12,9,a) 11,"Natural numbers between 10 and 20 inclusive are 10, 11, 12, ..., 20—11 numbers. Option b (10) excludes 20, option c (12) overcounts, and option d (9) undercounts."
Classification of Numbers,2,Which of the following is a natural number?,0,1,√2,-3,b) 1,"Natural numbers are positive whole numbers starting from 1. 1 is a natural number. 0 is not a natural number, √2 is irrational, and -3 is negative."
Classification of Numbers,3,Which number is an integer?,√5,3/2,0.\overline{3},-7,d) -7,"Integers are whole numbers, including negatives and zero. -7 is an integer. √5 is irrational, 3/2 is a fraction, and 0.\overline{3} (repeating 3) equals 1/3, a fraction."
Classification of Numbers,4,Which of the following is not a real number?,√2,0.\overline{9},-5,None of these,d) None of these,"All given numbers are real numbers. √2 is irrational, 0.\overline{9} (repeating 9) equals 1, and -5 is an integer—all are real numbers."
Classification of Numbers,5,Which number is not a rational number?,5/4,0.\overline{6},√16,√5,d) √5,"Rational numbers can be expressed as a fraction p over q. 5/4 is a fraction, 0.\overline{6} (repeating 6) equals 2/3, √16 equals 4—all rational. √5 is irrational."
Classification of Numbers,3,Which set represents all natural numbers?,"{1, 2, 3, ...}","{0, 1, 2, ...}","{2, 4, 6, ...}","{..., -1, 0, 1, ...}","a) {1, 2, 3, ...}","Natural numbers start from 1 and are positive. Option a is correct. Option b includes 0, option c includes only even numbers, and option d includes negative numbers."
Classification of Numbers,4,Which number is a rational number?,√2,π,0.\overline{5},√4,c) 0.\overline{5},"0.\overline{5} (repeating 5) is 5/9, a rational number. √2 and π are irrational, and √4 equals 2, which is rational but not the selected answer."
Classification of Numbers,2,Which number is not an integer?,0,-5,√9,√7,d) √7,"Integers are whole numbers. 0, -5, and √9 (equals 3) are integers. √7 is irrational and not an integer."
Classification of Numbers,5,How many even numbers are there between 1 and 10 inclusive?,5,4,6,3,a) 5,"Even numbers between 1 and 10 inclusive are 2, 4, 6, 8, 10—5 numbers. Option b (4) might suggest primes like 11, 13, 17; option c (6) might include a composite like 15; option d (3) undercounts."
Classification of Numbers,3,Which number is irrational?,√49/7,√3/√3,√11,5/2,c) √11,"Irrational numbers cannot be expressed as a fraction p over q where p and q are integers and q is not zero. √11 is not a perfect square, so it is irrational. √49/7 equals 7/7 equals 1, √3/√3 equals 1, and 5/2 is a fraction—all rational."
Classification of Numbers,4,Which statement is true about irrational numbers?,They can be expressed as a fraction.,They can be repeating decimals.,They cannot be expressed as a ratio of integers.,They are always finite decimals.,c) They cannot be expressed as a ratio of integers.,"Irrational numbers, like √2 or pi, cannot be written as a fraction p over q where p and q are integers and q is not zero. Options a, b, and d describe properties of rational numbers."
