Question_Number,Subtopic,Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Difficulty_Level,Explanation
1,Set Concepts,What is a universal set?,A set with no elements,A set containing all sets under discussion,A set with infinite elements,A set with one element,2,1,The textbook (page 2) defines a universal set as a set that includes all sets under discussion.
2,Set Concepts,Which of the following is an empty set?,{0},{},"{1,2,3}",{∅},2,2,"The empty set has no elements, denoted by {} or ∅ (page 3). {} is the empty set."
3,Set Concepts,"If A={1,2}, which set is a subset of A?","{1,3}","{1,2,3}",{1},"{2,3}",3,3,"A set B is a subset of A if every element of B is in A (page 2). {1} ⊆ {1,2}."
4,Set Concepts,"Given U={1,2,3,4} and A={1,3}, what is A'?","{2,4}","{1,3}","{1,2,3,4}",∅,1,4,"The complement A'=U \ A (page 4). A'={2,4}."
5,Set Concepts,How many subsets does a set with 3 elements have?,3,6,8,4,3,5,"A set with n elements has 2^n subsets (page 4). For n=3, 2^3=8."
6,Set Concepts,"If A={a}, what is P(A)?","{∅, {a}}",{{a}},{∅},{a},1,6,"The power set P(A) is the set of all subsets of A (page 4). For A={a}, P(A)={∅, {a}}."
7,Set Concepts,"Which of the following is a proper subset of A={1,2,3}?","{1,2,3}","{1,2}","{1,2,3,4}",{4},2,7,"A proper subset is a subset not equal to A (page 3). {1,2} ⊂ A."
8,Set Concepts,"If U={x: x is a positive integer, x ≤ 5} and A={1,3,5}, what is A'?","{2,4}","{1,3,5}","{1,2,3,4,5}",∅,1,8,"A'=U \ A (page 4). U={1,2,3,4,5}, A={1,3,5}, so A'={2,4}."
9,Set Concepts,"If A={x: x is an even integer, x ≤ 6}, what is P(A)?","{∅, {2}, {4}, {6}, {2,4}, {2,6}, {4,6}, {2,4,6}}","{∅, {2}, {4}, {6}}","{{2,4,6}}","{∅, {2,4,6}}",1,9,"A={2,4,6} has 3 elements, so P(A) has 2^3=8 subsets (page 4): {∅, {2}, {4}, {6}, {2,4}, {2,6}, {4,6}, {2,4,6}}."
10,Set Concepts,"If A={1} and B={1,2}, which statement is true?",A ⊄ B,A = B,B ⊂ A,A ⊆ B,4,10,"A ⊆ B if every element of A is in B (page 2). Since 1 ∈ B, A ⊆ B."
11,Set Concepts,"Which set is equal to {1,1,2}?","{1,2}",{1},"{1,2,2}","{1,1,1,2}",1,3,"Repeated elements are counted once (page 3). {1,1,2} = {1,2}."
12,Set Concepts,"If U={a,b,c} and A={a}, what is n(P(A))?",1,2,3,4,2,4,"P(A)={∅, {a}}, so n(P(A))=2 (page 4)."
13,Set Concepts,"Which of the following is not a subset of {1,2}?",{1},{2},"{1,2}",{3},4,2,"{3} is not a subset of {1,2} as 3 ∉ {1,2} (page 2)."
14,Set Concepts,"If A={x: x is a positive integer, x < 4}, what is A'? with U={x: x is an integer, 1 ≤ x ≤ 5}?","{4,5}","{1,2,3}","{1,2,3,4,5}",∅,1,6,"A={1,2,3}, U={1,2,3,4,5}, A'=U \ A={4,5} (page 4)."
15,Set Concepts,"If A={a,b}, what is P(A)?","{∅, {a}, {b}, {a,b}}","{{a,b}}","{∅, {a}}","{a,b}",1,5,"For A={a,b}, P(A) includes all subsets: {∅, {a}, {b}, {a,b}} (page 4)."
16,Set Operations,"If A={2,4,6} and B={1,3,5}, what is A ∩ B?","{1,2,3,4,5,6}",∅,"{2,4,6}","{1,3,5}",2,1,A ∩ B contains common elements (page 6). A ∩ B=∅.
