Question_Number,Subtopic,Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Difficulty_Level,Explanation
1,Set Concepts,What is the notation for an element x belonging to set A?,x ∉ A,x ∈ A,x ⊆ A,x = A,2,1,The textbook (page 1) uses x ∈ A to denote that x is an element of set A.
2,Set Concepts,Which set is written in set builder notation?,"{1,2,3}","{x: x is a positive integer, x ≤ 3}","{a,b,c}",∅,2,2,"Set builder notation uses a rule, e.g., {x: x is a positive integer, x ≤ 3} (page 2)."
3,Set Concepts,"If A={3,4}, which is a subset of A?","{3,5}","{3,4,5}",{4},{5},3,3,"A set B is a subset of A if every element of B is in A (page 2). {4} ⊆ {3,4}."
4,Set Concepts,"Given U={1,2,3,4,5,6}, A={2,4,6}, what is A'?","{1,3,5}","{2,4,6}","{1,2,3,4,5,6}",∅,1,4,"A'=U \ A (page 4). A'={1,3,5}."
5,Set Concepts,How many elements are in the power set of a set with 2 elements?,2,4,6,8,2,5,"A set with n elements has 2^n subsets (page 4). For n=2, 2^2=4."
6,Set Concepts,"If A={x}, what is P(A)?","{∅, {x}}",{{x}},{∅},{x},1,6,"P(A) is the set of all subsets of A (page 4). For A={x}, P(A)={∅, {x}}."
7,Set Concepts,"Which is a proper subset of A={2,4,6}?","{2,4,6}","{2,4}","{2,4,6,8}",{8},2,7,"A proper subset is a subset not equal to A (page 3). {2,4} ⊂ A."
8,Set Concepts,"If U={x: x ∈ N, x ≤ 6}, A={1,2,3}, what is A'?","{4,5,6}","{1,2,3}","{1,2,3,4,5,6}",∅,1,8,"A'=U \ A (page 4). U={1,2,3,4,5,6}, A={1,2,3}, A'={4,5,6}."
9,Set Concepts,"If A={p,q,r}, what is n(P(A))?",4,6,8,10,3,9,"A has 3 elements, so n(P(A))=2^3=8 (page 4)."
10,Set Concepts,"If A={2,3} and B={2,3,4}, which is true?",A ⊄ B,A = B,B ⊆ A,A ⊆ B,4,10,"A ⊆ B if every element of A is in B (page 2). Since 2,3 ∈ B, A ⊆ B."
11,Set Concepts,"Which set is equal to {a,a,b}?","{a,b}",{a},"{a,b,b}","{a,a,a,b}",1,3,"Repeated elements are counted once (page 3). {a,a,b} = {a,b}."
12,Set Concepts,"If U={x,y,z}, A={x,y}, what is n(P(A))?",2,4,6,8,2,4,"P(A)={∅, {x}, {y}, {x,y}}, n(P(A))=2^2=4 (page 4)."
13,Set Concepts,"Which is not a subset of {3,4}?",{3},{4},"{3,4}",{5},4,2,"{5} is not a subset as 5 ∉ {3,4} (page 2)."
14,Set Concepts,"If A={x: x ∈ N, x ≤ 4}, U={x: x ∈ N, x ≤ 6}, what is A'?","{5,6}","{1,2,3,4}","{1,2,3,4,5,6}",∅,1,6,"A={1,2,3,4}, U={1,2,3,4,5,6}, A'=U \ A={5,6} (page 4)."
15,Set Concepts,"If A={∅, {∅}}, what is n(P(A))?",2,4,6,8,2,8,"A has 2 elements, so n(P(A))=2^2=4 (page 4)."
16,Set Operations,"If A={1,3,5,7} and B={2,4,6}, what is A ∩ B?","{1,2,3,4,5,6,7}",∅,"{1,3,5,7}","{2,4,6}",2,1,A ∩ B contains common elements (page 6). A ∩ B=∅.
17,Set Operations,"Given A={2,3,4}, B={3,4,5}, what is A ∪ B?","{2,3,4,5}","{3,4}","{2,5}",∅,1,2,"A ∪ B contains all elements in A or B (page 5). A ∪ B={2,3,4,5}."
18,Set Operations,"If U={1,2,3,4,5}, A={1,3,5}, B={3,4}, what is A \ B?","{1,5}",{3},"{1,3,4,5}",{2},1,3,"A \ B={x: x ∈ A, x ∉ B} (page 3). A \ B={1,5}."
